func,samples,boundsType,a,b,time,result
2,1024,4,10,15,12.473000,1.570796
1,1024,5,10,15,23.728000,2.094395
2,1024,5,10,15,8.372000,3.141593
1,1024,6,10,15,18.062000,2.516059
2,1024,6,10,15,7.589000,3.141593
1,1024,1,10,150,18.287000,0.523599
2,1024,1,10,150,8.787000,0.785398
1,1024,2,10,150,19.050000,0.783186
2,1024,2,10,150,13.293000,0.785398
1,1024,3,10,150,25.725000,1.047198
2,1024,3,10,150,12.331000,1.570796
1,1024,4,10,150,25.891000,1.566372
2,1024,4,10,150,19.370000,1.570796
1,1024,5,10,150,23.882000,2.094395
2,1024,5,10,150,7.804000,3.141593
1,1024,6,10,150,17.827000,3.132743
2,1024,6,10,150,12.982000,3.141593
1,1024,1,10,1500,17.526000,0.523599
2,1024,1,10,1500,6.780000,0.785398
1,1024,2,10,1500,17.605000,0.785376
2,1024,2,10,1500,13.502000,0.635369
1,1024,3,10,1500,17.527000,1.047198
2,1024,3,10,1500,7.689000,1.570796
1,1024,4,10,1500,17.459000,1.570752
2,1024,4,10,1500,13.458000,1.270738
1,1024,5,10,1500,18.024000,2.094395
2,1024,5,10,1500,7.471000,3.141593
1,1024,6,10,1500,17.648000,3.141412
2,1024,6,10,1500,13.797000,3.464417
1,1024,1,100,15,17.880000,1.429960
2,1024,1,100,15,18.214000,0.785398
1,1024,2,100,15,22.649000,0.975391
2,1024,2,100,15,12.801000,0.785398
1,1024,3,100,15,17.975000,2.859921
2,1024,3,100,15,13.504000,1.570796
1,1024,4,100,15,18.178000,1.950781
2,1024,4,100,15,13.027000,1.570796
1,1024,5,100,15,17.546000,5.719842
2,1024,5,100,15,13.585000,3.141593
1,1024,6,100,15,17.560000,3.901562
2,1024,6,100,15,13.090000,3.141593
1,1024,1,100,150,17.815000,1.429960
2,1024,1,100,150,13.583000,0.785398
1,1024,2,100,150,17.819000,1.451003
2,1024,2,100,150,13.510000,0.785398
1,1024,3,100,150,17.626000,2.859921
2,1024,3,100,150,13.530000,1.570796
1,1024,4,100,150,17.424000,2.902006
2,1024,4,100,150,13.479000,1.570796
1,1024,5,100,150,17.516000,5.719842
2,1024,5,100,150,13.426000,3.141593
1,1024,6,100,150,17.542000,5.804011
2,1024,6,100,150,15.085000,3.141593
1,1024,1,100,1500,18.221000,1.429960
2,1024,1,100,1500,20.063000,0.785398
1,1024,2,100,1500,25.166000,1.470906
2,1024,2,100,1500,13.506000,0.635369
1,1024,3,100,1500,18.940000,2.859921
2,1024,3,100,1500,13.489000,1.570796
1,1024,4,100,1500,17.418000,2.941811
2,1024,4,100,1500,13.445000,1.270738
1,1024,5,100,1500,17.428000,5.719842
2,1024,5,100,1500,13.440000,3.141593
1,1024,6,100,1500,17.521000,5.883531
2,1024,6,100,1500,19.906000,3.464417
1,1024,1,1000,15,17.905000,1.556655
2,1024,1,1000,15,13.482000,0.708693
1,1024,2,1000,15,19.845000,0.982719
2,1024,2,1000,15,13.913000,0.746060
1,1024,3,1000,15,17.606000,3.113309
2,1024,3,1000,15,14.887000,1.192800
1,1024,4,1000,15,18.868000,1.965437
2,1024,4,1000,15,13.427000,1.255694
1,1024,5,1000,15,17.594000,6.226618
2,1024,5,1000,15,13.460000,2.007601
1,1024,6,1000,15,17.550000,3.930874
2,1024,6,1000,15,18.200000,2.511387
1,1024,1,1000,150,18.761000,1.556655
2,1024,1,1000,150,13.531000,0.708693
1,1024,2,1000,150,17.462000,1.503482
2,1024,2,1000,150,13.523000,0.746060
1,1024,3,1000,150,17.915000,3.113309
2,1024,3,1000,150,13.487000,1.192800
1,1024,4,1000,150,17.583000,3.006965
2,1024,4,1000,150,13.441000,1.255694
1,1024,5,1000,150,19.318000,6.226618
2,1024,5,1000,150,20.373000,2.007601
1,1024,6,1000,150,25.960000,6.013929
2,1024,6,1000,150,20.416000,2.511387
1,1024,1,1000,1500,25.906000,1.556655
2,1024,1,1000,1500,20.134000,0.708693
1,1024,2,1000,1500,26.011000,1.558778
2,1024,2,1000,1500,15.993000,0.603546
1,1024,3,1000,1500,17.494000,3.113309
2,1024,3,1000,1500,13.521000,1.192800
1,1024,4,1000,1500,17.426000,3.117556
2,1024,4,1000,1500,13.537000,1.015827
1,1024,5,1000,1500,17.534000,6.226618
2,1024,5,1000,1500,14.156000,2.007601
1,1024,6,1000,1500,17.449000,6.235020
2,1024,6,1000,1500,13.490000,2.769453
1,2048,1,10,15,86.535000,0.523599
2,2048,1,10,15,40.968000,0.785398
1,2048,2,10,15,99.339000,0.629015
2,2048,2,10,15,47.124000,0.785398
1,2048,3,10,15,77.280000,1.047198
2,2048,3,10,15,29.076000,1.570796
1,2048,4,10,15,73.586000,1.258030
2,2048,4,10,15,27.513000,1.570796
1,2048,5,10,15,94.244000,2.094395
2,2048,5,10,15,37.264000,3.141593
1,2048,6,10,15,69.938000,2.516059
2,2048,6,10,15,28.543000,3.141593
1,2048,1,10,150,70.065000,0.523599
2,2048,1,10,150,27.456000,0.785398
1,2048,2,10,150,73.462000,0.783186
2,2048,2,10,150,53.614000,0.785398
1,2048,3,10,150,71.537000,1.047198
2,2048,3,10,150,28.159000,1.570796
1,2048,4,10,150,70.902000,1.566372
2,2048,4,10,150,52.608000,1.570796
1,2048,5,10,150,71.013000,2.094395
2,2048,5,10,150,27.287000,3.141593
1,2048,6,10,150,71.584000,3.132743
2,2048,6,10,150,58.717000,3.141593
1,2048,1,10,1500,72.204000,0.523599
2,2048,1,10,1500,27.992000,0.785398
1,2048,2,10,1500,102.938000,0.785376
2,2048,2,10,1500,79.757000,0.780133
1,2048,3,10,1500,83.322000,1.047198
2,2048,3,10,1500,28.565000,1.570796
1,2048,4,10,1500,71.040000,1.570752
2,2048,4,10,1500,56.091000,1.560266
1,2048,5,10,1500,69.978000,2.094395
2,2048,5,10,1500,27.155000,3.141593
1,2048,6,10,1500,73.032000,3.141504
2,2048,6,10,1500,54.253000,2.541476
1,2048,1,100,15,71.360000,1.429960
2,2048,1,100,15,65.425000,0.785398
1,2048,2,100,15,93.891000,0.975391
2,2048,2,100,15,52.242000,0.785398
1,2048,3,100,15,72.008000,2.859921
2,2048,3,100,15,53.548000,1.570796
1,2048,4,100,15,96.051000,1.950781
2,2048,4,100,15,54.751000,1.570796
1,2048,5,100,15,69.820000,5.719842
2,2048,5,100,15,55.779000,3.141593
1,2048,6,100,15,70.929000,3.901562
2,2048,6,100,15,50.333000,3.141593
1,2048,1,100,150,69.971000,1.429960
2,2048,1,100,150,53.793000,0.785398
1,2048,2,100,150,72.053000,1.451003
2,2048,2,100,150,54.284000,0.785398
1,2048,3,100,150,87.704000,2.859921
2,2048,3,100,150,61.217000,1.570796
1,2048,4,100,150,79.409000,2.902006
2,2048,4,100,150,64.916000,1.570796
1,2048,5,100,150,69.977000,5.719842
2,2048,5,100,150,60.626000,3.141593
1,2048,6,100,150,104.631000,5.804011
2,2048,6,100,150,79.100000,3.141593
1,2048,1,100,1500,88.142000,1.429960
2,2048,1,100,1500,54.019000,0.785398
1,2048,2,100,1500,69.964000,1.470906
2,2048,2,100,1500,56.842000,0.780133
1,2048,3,100,1500,72.648000,2.859921
2,2048,3,100,1500,53.819000,1.570796
1,2048,4,100,1500,70.820000,2.941811
2,2048,4,100,1500,56.798000,1.560266
1,2048,5,100,1500,103.250000,5.719842
2,2048,5,100,1500,59.563000,3.141593
1,2048,6,100,1500,70.235000,5.883623
2,2048,6,100,1500,55.345000,2.541476
1,2048,1,1000,15,96.856000,1.556655
2,2048,1,1000,15,78.451000,0.785365
1,2048,2,1000,15,92.145000,0.982719
2,2048,2,1000,15,53.464000,0.785381
1,2048,3,1000,15,69.926000,3.113310
2,2048,3,1000,15,56.099000,1.492089
1,2048,4,1000,15,71.192000,1.965437
2,2048,4,1000,15,53.509000,1.492120
1,2048,5,1000,15,73.329000,6.226619
2,2048,5,1000,15,55.358000,2.834770
1,2048,6,1000,15,80.442000,3.930875
2,2048,6,1000,15,56.033000,2.984241
1,2048,1,1000,150,69.945000,1.556655
2,2048,1,1000,150,53.997000,0.785365
1,2048,2,1000,150,70.032000,1.503482
2,2048,2,1000,150,54.275000,0.785381
1,2048,3,1000,150,71.471000,3.113310
2,2048,3,1000,150,54.018000,1.492089
1,2048,4,1000,150,71.083000,3.006965
2,2048,4,1000,150,55.754000,1.492120
1,2048,5,1000,150,69.883000,6.226619
2,2048,5,1000,150,56.365000,2.834770
1,2048,6,1000,150,71.455000,6.013930
2,2048,6,1000,150,57.334000,2.984241
1,2048,1,1000,1500,71.179000,1.556655
2,2048,1,1000,1500,55.299000,0.785365
1,2048,2,1000,1500,78.699000,1.558778
2,2048,2,1000,1500,70.301000,0.780116
1,2048,3,1000,1500,87.568000,3.113310
2,2048,3,1000,1500,53.675000,1.492089
1,2048,4,1000,1500,99.954000,3.117556
2,2048,4,1000,1500,80.076000,1.482117
1,2048,5,1000,1500,70.399000,6.226619
2,2048,5,1000,1500,54.204000,2.834770
1,2048,6,1000,1500,72.211000,6.235113
2,2048,6,1000,1500,55.965000,2.414182
